N4|synonym|意見|いけん|opinion|n|考え|かんがえ|thought; idea|n|意見 is a view offered for discussion; 考え is whatever you happen to think.
N4|synonym|美しい|うつくしい|beautiful|ia|きれい|きれい|pretty; clean|na|美しい is literary and reserved for real beauty; きれい is the everyday word.
N4|synonym|会社員|かいしゃいん|company employee|n|サラリーマン|サラリーマン|salaried worker|n|サラリーマン is informal, male-leaning and slightly dated in official writing.
N4|synonym|準備|じゅんび|preparation|n|用意|ようい|preparation; getting ready|n|準備 covers longer, larger preparation; 用意 is having things ready to hand.
N4|synonym|食事|しょくじ|a meal|n|ご飯|ごはん|meal; cooked rice|n|ご飯 is casual and literally means rice; 食事 is neutral and works in writing.
N4|synonym|生徒|せいと|pupil; student|n|学生|がくせい|student|n|生徒 is a school pupil up to high school; 学生 usually means a university student.
N4|synonym|全部|ぜんぶ|all; everything|n|みんな|みんな|all; everyone|n|みんな is casual and usually means people; 全部 is things.
N4|synonym|大丈夫|だいじょうぶ|all right; fine|na|問題ない|もんだいない|no problem|exp|問題ない is flatter and more businesslike; 大丈夫 also reassures.
N4|synonym|だめ|だめ|no good; not allowed|na|いけない|いけない|must not; no good|exp|だめ is blunt and spoken; いけない appears in rules and written warnings.
N4|synonym|ちょうど|ちょうど|exactly; just|adv|ぴったり|ぴったり|exactly; perfectly|adv|ぴったり stresses a perfect fit or match; ちょうど stresses precision.
N4|synonym|時々|ときどき|sometimes|adv|たまに|たまに|occasionally|adv|たまに is less frequent than 時々 and sounds more casual.
N4|synonym|直す|なおす|to fix; to correct|v|修理する|しゅうりする|to repair|v|修理する is for machines and buildings; 直す also covers correcting mistakes.
N4|synonym|場所|ばしょ|place; location|n|所|ところ|place; spot|n|場所 is a specific physical location; 所 is broader and can be abstract.
N4|synonym|病気|びょうき|illness|n|具合が悪い|ぐあいがわるい|to feel unwell|exp|具合が悪い is a temporary state; 病気 names an actual illness.
N4|synonym|変|へん|strange; odd|na|おかしい|おかしい|strange; funny|ia|おかしい can also mean amusing, which 変 never does.
N4|synonym|方法|ほうほう|method; way|n|やり方|やりかた|way of doing|n|やり方 is spoken and concrete; 方法 suits writing and formal speech.
N4|synonym|まず|まず|first of all|adv|はじめに|はじめに|to begin with|adv|はじめに suits written instructions; まず is the natural spoken opener.
N4|synonym|理由|りゆう|reason|n|わけ|わけ|reason; circumstances|n|わけ is softer and often appears in explanations like そういうわけで.
N4|synonym|旅行|りょこう|travel; a trip|n|旅|たび|journey|n|旅 is more literary and suggests a longer, more personal journey.
N4|antonym|会う|あう|to meet|v|別れる|わかれる|to part; to break up|v|別れる also means to break up with a partner.
N4|antonym|上がる|あがる|to rise; to go up|v|下がる|さがる|to fall; to go down|v|Intransitive. Transitive: 上げる and 下げる.
N4|antonym|上げる|あげる|to raise|v|下げる|さげる|to lower|v|上げる also means to give (to someone else).
N4|antonym|遊ぶ|あそぶ|to play; to hang out|v|働く|はたらく|to work|v|遊ぶ is not childish — adults use it for going out and having fun.
N4|antonym|暖かい|あたたかい|warm (weather)|ia|涼しい|すずしい|cool; refreshing|ia|Both are pleasant temperatures. For objects use 温かい and 冷たい.
N4|antonym|安心|あんしん|relief; peace of mind|n|心配|しんぱい|worry; anxiety|n|Both take する to become verbs.
N4|antonym|忙しい|いそがしい|busy|ia|暇|ひま|free; unoccupied|na|暇 is a な-adjective and also a noun meaning free time.
N4|antonym|動く|うごく|to move|v|止まる|とまる|to stop|v|Intransitive. Transitive: 動かす and 止める.
N4|antonym|内側|うちがわ|inside; inner side|n|外側|そとがわ|outside; outer side|n|
N4|antonym|生まれる|うまれる|to be born|v|死ぬ|しぬ|to die|v|
N4|antonym|嬉しい|うれしい|happy; glad|ia|悲しい|かなしい|sad|ia|Both describe your own feelings; for others add そう or がる.
N4|antonym|屋上|おくじょう|rooftop|n|地下|ちか|basement; underground|n|
N4|antonym|送る|おくる|to send|v|受け取る|うけとる|to receive|v|送る also means to see someone off.
N4|antonym|遅れる|おくれる|to be late|v|間に合う|まにあう|to be on time|v|間に合う also means to be enough or to make do.
N4|antonym|固い|かたい|hard; firm|ia|柔らかい|やわらかい|soft|ia|固い also means stubborn or stiff in manner.
N4|antonym|勝つ|かつ|to win|v|負ける|まける|to lose|v|Both take に for the opponent: 相手に勝つ.
N4|antonym|簡単|かんたん|simple; easy|na|難しい|むずかしい|difficult|ia|
N4|antonym|込む|こむ|to be crowded|v|空く|すく|to become empty|v|Usually in the ている form: 込んでいる, 空いている.
N4|antonym|最初|さいしょ|the first; the beginning|n|最後|さいご|the last; the end|n|
N4|antonym|質問|しつもん|question|n|答え|こたえ|answer|n|返事 is a reply to being addressed; 答え is the answer to a question.
N4|antonym|自由|じゆう|freedom; free|na|不自由|ふじゆう|inconvenience; restricted|na|
N4|antonym|出発|しゅっぱつ|departure|n|到着|とうちゃく|arrival|n|
N4|antonym|親切|しんせつ|kind; helpful|na|冷たい|つめたい|cold; unkind|ia|冷たい人 is the standard way to call someone unkind.
N4|antonym|進む|すすむ|to advance; to proceed|v|戻る|もどる|to go back; to return|v|
N4|antonym|捨てる|すてる|to throw away|v|拾う|ひろう|to pick up|v|
N4|antonym|出す|だす|to take out; to submit|v|入れる|いれる|to put in|v|
N4|antonym|正しい|ただしい|correct; right|ia|間違う|まちがう|to be wrong; to err|v|Japanese has no common adjective for wrong — 間違っている fills that role.
N4|antonym|縦|たて|vertical; length|n|横|よこ|horizontal; width|n|
N4|antonym|楽しい|たのしい|fun; enjoyable|ia|つまらない|つまらない|boring; dull|ia|
