N5|synonym|うち|うち|home; one's house|n|家|いえ|house; home|n|うち is your own home and carries warmth; 家 is the building itself.
N5|synonym|かばん|かばん|bag|n|バッグ|バッグ|bag; handbag|n|かばん covers briefcases and school bags; バッグ leans toward fashion bags.
N5|synonym|じゃあ|じゃあ|well then; so|exp|では|では|well then; in that case|exp|では is the formal written form; じゃあ is its casual spoken contraction.
N5|synonym|少し|すこし|a little; a few|adv|ちょっと|ちょっと|a little; a bit|adv|Same meaning, different register: ちょっと is casual and also softens refusals.
N5|synonym|トイレ|トイレ|toilet; restroom|n|お手洗い|おてあらい|restroom; washroom|n|お手洗い is the polite choice when asking in a shop or someone's home.
N5|synonym|とても|とても|very|adv|たいへん|たいへん|very; extremely|adv|大変 is more formal in this sense, but as a な-adjective it means tough or awful.
N5|synonym|とても|とても|very|adv|すごく|すごく|really; super|adv|すごく is casual spoken Japanese; avoid it in writing or formal speech.
N5|synonym|レストラン|レストラン|restaurant|n|食堂|しょくどう|dining hall; canteen|n|食堂 suggests a plain, cheap eatery or a canteen inside a school or company.
N5|antonym|明るい|あかるい|bright; cheerful|ia|暗い|くらい|dark; gloomy|ia|Both extend to personality: 明るい人 is upbeat, 暗い人 is downbeat.
N5|antonym|開ける|あける|to open (something)|v|閉める|しめる|to close (something)|v|Transitive pair. The intransitive pair is 開く and 閉まる.
N5|antonym|朝|あさ|morning|n|夜|よる|night|n|
N5|antonym|新しい|あたらしい|new; fresh|ia|古い|ふるい|old; used|ia|古い is never used for a person's age — that is 年上 or 年配.
N5|antonym|暑い|あつい|hot (weather)|ia|寒い|さむい|cold (weather)|ia|Weather only. For objects use 熱い and 冷たい.
N5|antonym|熱い|あつい|hot (to the touch)|ia|冷たい|つめたい|cold (to the touch)|ia|冷たい also describes a cold-hearted person; 熱い does not mirror that.
N5|antonym|厚い|あつい|thick (flat objects)|ia|薄い|うすい|thin (flat objects)|ia|3 あつい: 厚い is thickness, 暑い weather, 熱い touch.
N5|antonym|甘い|あまい|sweet|ia|辛い|からい|spicy; salty|ia|辛い is also read つらい, meaning painful or hard.
N5|antonym|生きる|いきる|to live|v|死ぬ|しぬ|to die|v|
N5|antonym|行く|いく|to go|v|来る|くる|to come|v|Direction is judged from the speaker: 行く moves away, 来る moves toward.
